CACHE_BYTES,ASSOC,fMax,LUT (Used),LUT (Total),LUTAsLogic (Used),LUTAsLogic (Total),LUTAsMem (Used),LUTAsMem (Total),REG (Used),REG (Total),CARRY8 (Used),CARRY8 (Total),F7MUX (Used),F7MUX (Total),F8MUX (Used),F8MUX (Total),F9MUX (Used),F9MUX (Total),BRAM (Used),BRAM (Total),URAM (Used),URAM (Total),DSP (Used),DSP (Total),GLOBAL_CLOCK_BUFFERS (Used),GLOBAL_CLOCK_BUFFERS (Total),PLL (Used),PLL (Total),MMCM (Used),MMCM (Total),GTYE4_CHANNEL (Used),GTYE4_CHANNEL (Total),GTYE4_COMMON (Used),GTYE4_COMMON (Total),SLL_SLR2-SLR3 (Used),SLL_SLR2-SLR3 (Total),SLL_SLR3-SLR2 (Used),SLL_SLR3-SLR2 (Total),SLL_SLR1-SLR2 (Used),SLL_SLR1-SLR2 (Total),SLL_SLR2-SLR1 (Used),SLL_SLR2-SLR1 (Total),SLL_SLR0-SLR1 (Used),SLL_SLR0-SLR1 (Total),SLL_SLR1-SLR0 (Used),SLL_SLR1-SLR0 (Total),LUT_SLR0 (Used),LUT_SLR0 (Total),LUT_SLR1 (Used),LUT_SLR1 (Total),LUT_SLR2 (Used),LUT_SLR2 (Total),LUT_SLR3 (Used),LUT_SLR3 (Total),LUTAsLogic_SLR0 (Used),LUTAsLogic_SLR0 (Total),LUTAsLogic_SLR1 (Used),LUTAsLogic_SLR1 (Total),LUTAsLogic_SLR2 (Used),LUTAsLogic_SLR2 (Total),LUTAsLogic_SLR3 (Used),LUTAsLogic_SLR3 (Total),LUTAsMem_SLR0 (Used),LUTAsMem_SLR0 (Total),LUTAsMem_SLR1 (Used),LUTAsMem_SLR1 (Total),LUTAsMem_SLR2 (Used),LUTAsMem_SLR2 (Total),LUTAsMem_SLR3 (Used),LUTAsMem_SLR3 (Total),REG_SLR0 (Used),REG_SLR0 (Total),REG_SLR1 (Used),REG_SLR1 (Total),REG_SLR2 (Used),REG_SLR2 (Total),REG_SLR3 (Used),REG_SLR3 (Total),CARRY8_SLR0 (Used),CARRY8_SLR0 (Total),CARRY8_SLR1 (Used),CARRY8_SLR1 (Total),CARRY8_SLR2 (Used),CARRY8_SLR2 (Total),CARRY8_SLR3 (Used),CARRY8_SLR3 (Total),F7MUX_SLR0 (Used),F7MUX_SLR0 (Total),F7MUX_SLR1 (Used),F7MUX_SLR1 (Total),F7MUX_SLR2 (Used),F7MUX_SLR2 (Total),F7MUX_SLR3 (Used),F7MUX_SLR3 (Total),F8MUX_SLR0 (Used),F8MUX_SLR0 (Total),F8MUX_SLR1 (Used),F8MUX_SLR1 (Total),F8MUX_SLR2 (Used),F8MUX_SLR2 (Total),F8MUX_SLR3 (Used),F8MUX_SLR3 (Total),F9MUX_SLR0 (Used),F9MUX_SLR0 (Total),F9MUX_SLR1 (Used),F9MUX_SLR1 (Total),F9MUX_SLR2 (Used),F9MUX_SLR2 (Total),F9MUX_SLR3 (Used),F9MUX_SLR3 (Total),BRAM_SLR0 (Used),BRAM_SLR0 (Total),BRAM_SLR1 (Used),BRAM_SLR1 (Total),BRAM_SLR2 (Used),BRAM_SLR2 (Total),BRAM_SLR3 (Used),BRAM_SLR3 (Total),URAM_SLR0 (Used),URAM_SLR0 (Total),URAM_SLR1 (Used),URAM_SLR1 (Total),URAM_SLR2 (Used),URAM_SLR2 (Total),URAM_SLR3 (Used),URAM_SLR3 (Total),DSPs_SLR0 (Used),DSPs_SLR0 (Total),DSPs_SLR1 (Used),DSPs_SLR1 (Total),DSPs_SLR2 (Used),DSPs_SLR2 (Total),DSPs_SLR3 (Used),DSPs_SLR3 (Total)
1024,8,28.692757947893956,27797,1728000,27765,1728000,32,791040,32634,3456000,210,216000,2708,864000,584,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,6,23040,0,23040,0,23040,0,23040,0,432000,0,432000,27797,432000,0,432000,0,432000,0,432000,27765,432000,0,432000,0,197760,0,197760,32,197760,0,197760,0,864000,5,864000,32629,864000,0,864000,0,54000,0,54000,210,54000,0,54000,0,216000,0,216000,2708,216000,0,216000,0,108000,0,108000,584,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,62.37914041544508,75429,1728000,75397,1728000,32,791040,66759,3456000,146,216000,8489,864000,2864,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,75429,432000,0,432000,0,432000,0,432000,75397,432000,0,432000,0,432000,0,432000,32,197760,0,197760,0,197760,0,197760,66759,864000,0,864000,0,864000,0,864000,146,54000,0,54000,0,54000,0,54000,8489,216000,0,216000,0,216000,0,216000,2864,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,187.58206715438,78611,1728000,78579,1728000,32,791040,58784,3456000,560,216000,7979,864000,2352,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,78611,432000,0,432000,0,432000,0,432000,78579,432000,0,432000,0,432000,0,197760,32,197760,0,197760,0,197760,0,864000,58784,864000,0,864000,0,864000,0,54000,560,54000,0,54000,0,54000,0,216000,7979,216000,0,216000,0,216000,0,108000,2352,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,194.17475728155338,77232,1728000,77200,1728000,32,791040,57981,3456000,560,216000,7566,864000,1901,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,0,432000,0,432000,77232,432000,0,432000,0,432000,0,432000,77200,432000,0,197760,0,197760,0,197760,32,197760,0,864000,0,864000,0,864000,57981,864000,0,54000,0,54000,0,54000,560,54000,0,216000,0,216000,0,216000,7566,216000,0,108000,0,108000,0,108000,1901,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,220.1188641866608,136457,1728000,136297,1728000,160,791040,51466,3456000,80,216000,15314,864000,552,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,136457,432000,0,432000,0,432000,0,432000,136297,432000,0,432000,0,432000,0,432000,160,197760,0,197760,0,197760,0,197760,51466,864000,0,864000,0,864000,0,864000,80,54000,0,54000,0,54000,0,54000,15314,216000,0,216000,0,216000,0,216000,552,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
4096,8,202.34722784297855,135698,1728000,135538,1728000,160,791040,51077,3456000,80,216000,15216,864000,524,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,0,432000,135698,432000,0,432000,0,432000,0,432000,135538,432000,0,432000,0,432000,0,197760,160,197760,0,197760,0,197760,0,864000,51077,864000,0,864000,0,864000,0,54000,80,54000,0,54000,0,54000,0,216000,15216,216000,0,216000,0,216000,0,108000,524,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
